Date,VTI,VEU,VXUS,VT,BIL
2006-01-03,43.302860260009766,,,,
2006-01-04,43.61772537231445,,,,
2006-01-05,43.59003829956055,,,,
2006-01-06,44.019081115722656,,,,
2006-01-09,44.181732177734375,,,,
2006-01-10,44.24400329589844,,,,
2006-01-11,44.368553161621094,,,,
2006-01-12,44.11598587036133,,,,
2006-01-13,44.16442108154297,,,,
2006-01-17,44.00870895385742,,,,
2006-01-18,43.873756408691406,,,,
2006-01-19,44.11250686645508,,,,
2006-01-20,43.33745193481445,,,,
2006-01-23,43.465476989746094,,,,
2006-01-24,43.59695816040039,,,,
2006-01-25,43.50007629394531,,,,
2006-01-26,43.87030792236328,,,,
2006-01-27,44.21978759765625,,,,
2006-01-30,44.26474380493164,,,,
2006-01-31,44.046783447265625,,,,
2006-02-01,44.21632385253906,,,,
2006-02-02,43.82186508178711,,,,
2006-02-03,43.60735321044922,,,,
2006-02-06,43.71113967895508,,,,
2006-02-07,43.28555679321289,,,,
2006-02-08,43.59695816040039,,,,
2006-02-09,43.51390838623047,,,,
2006-02-10,43.603878021240234,,,,
2006-02-13,43.406654357910156,,,,
2006-02-14,43.818416595458984,,,,
2006-02-15,43.9844970703125,,,,
2006-02-16,44.3270378112793,,,,
2006-02-17,44.27513122558594,,,,
2006-02-21,44.150577545166016,,,,
2006-02-22,44.496585845947266,,,,
2006-02-23,44.38587188720703,,,,
2006-02-24,44.45506286621094,,,,
2006-02-27,44.58309555053711,,,,
2006-02-28,44.143646240234375,,,,
2006-03-01,44.53117370605469,,,,
2006-03-02,44.50003433227539,,,,
2006-03-03,44.42738342285156,,,,
2006-03-06,44.10214614868164,,,,
2006-03-07,43.922218322753906,,,,
2006-03-08,44.046783447265625,,,,
2006-03-09,43.811492919921875,,,,
2006-03-10,44.15403366088867,,,,
2006-03-13,44.26130676269531,,,,
2006-03-14,44.7180290222168,,,,
2006-03-15,44.918724060058594,,,,
2006-03-16,45.01559829711914,,,,
2006-03-17,45.05019760131836,,,,
2006-03-20,44.95501708984375,,,,
2006-03-21,44.70487594604492,,,,
2006-03-22,44.975860595703125,,,,
2006-03-23,44.96541976928711,,,,
2006-03-24,45.024497985839844,,,,
2006-03-27,44.99321365356445,,,,
2006-03-28,44.729190826416016,,,,
2006-03-29,45.14607238769531,,,,
2006-03-30,45.024497985839844,,,,
2006-03-31,45.048805236816406,,,,
2006-04-03,45.00017547607422,,,,
2006-04-04,45.26072692871094,,,,
2006-04-05,45.427490234375,,,,
2006-04-06,45.40665054321289,,,,
2006-04-07,44.92026901245117,,,,
2006-04-10,44.97932052612305,,,,
2006-04-11,44.572853088378906,,,,
2006-04-12,44.663185119628906,,,,
2006-04-13,44.65277099609375,,,,
2006-04-17,44.58327865600586,,,,
2006-04-18,45.35103225708008,,,,
2006-04-19,45.48655319213867,,,,
2006-04-20,45.5490837097168,,,,
2006-04-21,45.52824401855469,,,,
2006-04-24,45.396202087402344,,,,
2006-04-25,45.250308990478516,,,,
2006-04-26,45.26072692871094,,,,
2006-04-27,45.39274215698242,,,,
2006-04-28,45.47960662841797,,,,
2006-05-01,45.26072692871094,,,,
2006-05-02,45.52824401855469,,,,
2006-05-03,45.396202087402344,,,,
2006-05-04,45.608131408691406,,,,
2006-05-05,45.99723815917969,,,,
2006-05-08,46.0389404296875,,,,
2006-05-09,46.035465240478516,,,,
2006-05-10,45.97291564941406,,,,
2006-05-11,45.378849029541016,,,,
2006-05-12,44.77088928222656,,,,
2006-05-15,44.81949996948242,,,,
2006-05-16,44.67708969116211,,,,
2006-05-17,43.86065673828125,,,,
2006-05-18,43.65568923950195,,,,
2006-05-19,43.90235137939453,,,,
2006-05-22,43.641780853271484,,,,
2006-05-23,43.30133056640625,,,,
2006-05-24,43.45071792602539,,,,
2006-05-25,44.051727294921875,,,,
2006-05-26,44.30186462402344,,,,
2006-05-30,43.49936294555664,,,,
2006-05-31,44.013519287109375,,,,
2006-06-01,44.572853088378906,,,,
2006-06-02,44.65970993041992,,,,
2006-06-05,43.909297943115234,,,,
2006-06-06,43.711273193359375,,,,
2006-06-07,43.42639923095703,,,,
2006-06-08,43.384700775146484,,,,
2006-06-09,43.217960357666016,,,,
2006-06-12,42.651676177978516,,,,
2006-06-13,42.14445495605469,,,,
2006-06-14,42.41195297241211,,,,
2006-06-15,43.391666412353516,,,,
2006-06-16,43.165836334228516,,,,
2006-06-19,42.731571197509766,,,,
2006-06-20,42.74199295043945,,,,
2006-06-21,43.217960357666016,,,,
2006-06-22,42.9817008972168,,,,
2006-06-23,43.047733306884766,,,,
2006-06-26,43.25881576538086,,,,
2006-06-27,42.84709930419922,,,,
2006-06-28,43.150665283203125,,,,
2006-06-29,44.09272766113281,,,,
2006-06-30,44.0717887878418,,,,
2006-07-03,44.41024398803711,,,,
2006-07-05,44.047367095947266,,,,
2006-07-06,44.1904182434082,,,,
2006-07-07,43.82405471801758,,,,
2006-07-10,43.87639617919922,,,,
2006-07-11,44.036895751953125,,,,
2006-07-12,43.56587600708008,,,,
2006-07-13,42.9168815612793,,,,
2006-07-14,42.66564178466797,,,,
2006-07-17,42.59238052368164,,,,
2006-07-18,42.73542404174805,,,,
2006-07-19,43.44026184082031,,,,
2006-07-20,42.99712371826172,,,,
2006-07-21,42.65518569946289,,,,
2006-07-24,43.48561477661133,,,,
2006-07-25,43.632171630859375,,,,
